household_id,income_group,annual_income_usd,location_type,hh_weight,annual_miles
30424302.0,lower_middle,42500.0,suburban,697.177354332785,600.0
30058855.0,upper_middle,62500.0,urban,1059.43729696639,13000.0
30184335.0,high,137500.0,urban,225.756302276049,0.0
30474089.0,upper_middle,62500.0,suburban,784.862126474853,10000.0
30499975.0,upper_middle,62500.0,suburban,354.315270843432,8000.0
30273004.0,,,urban,1024.62658244461,11120.0
30150869.0,high,112500.0,urban,627.371881020407,10947.0
30316179.0,lower_middle,30000.0,urban,77.7737890371425,8500.0
30159445.0,upper_middle,62500.0,suburban,137.228083628355,0.0
30504172.0,lower_middle,30000.0,urban,2962.78919577952,0.0
30004735.0,upper_middle,87500.0,urban,595.669874639526,0.0
30452033.0,upper_middle,87500.0,suburban,47.5372420201301,16000.0
30003894.0,lower_middle,42500.0,urban,509.020392730173,1800.0
30289374.0,upper_middle,62500.0,urban,326.040668338268,7000.0
30414416.0,high,175000.0,urban,198.59891714126,23400.0
30223553.0,high,225000.0,urban,49.5636084008138,26000.0
30090111.0,upper_middle,62500.0,urban,181.072335488567,4750.0
30528395.0,low,20000.0,rural,59.9678554418593,10000.0
30132064.0,upper_middle,62500.0,urban,1573.97995561451,20000.0
30211681.0,upper_middle,87500.0,urban,111.155301342113,33100.0
30039497.0,upper_middle,87500.0,rural,482.875554712329,2000.0
30094541.0,upper_middle,62500.0,suburban,2956.48785005893,22000.0
30089022.0,upper_middle,62500.0,urban,121.337198021064,0.0
30151068.0,upper_middle,62500.0,urban,96.1257770094367,5750.0
30429519.0,lower_middle,30000.0,suburban,337.706140563649,0.0
30225042.0,upper_middle,87500.0,rural,242.546530543719,20000.0
30265307.0,upper_middle,62500.0,urban,288.129393148542,0.0
30350999.0,lower_middle,42500.0,suburban,697.235080684513,0.0
30448536.0,lower_middle,42500.0,rural,606.046834704556,34020.0
30431417.0,upper_middle,62500.0,urban,63.2976905327818,8200.0
30095806.0,upper_middle,87500.0,suburban,351.182895450649,0.0
30488160.0,low,20000.0,suburban,152.985607130564,5000.0
30354892.0,high,112500.0,urban,1707.04270204907,0.0
30240818.0,low,20000.0,urban,100.361209273131,0.0
30195322.0,upper_middle,87500.0,urban,65.972626553547,1400.0
30141636.0,low,5000.0,urban,56.474641703657,0.0
30232137.0,high,137500.0,urban,225.400561890264,23500.0
30375807.0,upper_middle,62500.0,suburban,1388.75136562313,10000.0
30431529.0,high,112500.0,urban,309.529457113946,35000.0
30075491.0,high,225000.0,suburban,733.889156190152,8011.0
30167094.0,lower_middle,30000.0,urban,36.8796930261284,3000.0
30469557.0,upper_middle,62500.0,urban,2238.50302532456,24000.0
30468564.0,high,225000.0,urban,672.953926339006,11000.0
30296857.0,upper_middle,87500.0,urban,204.562044473518,41000.0
30534326.0,lower_middle,42500.0,urban,82.2868261896724,12000.0
30223274.0,lower_middle,42500.0,urban,2797.5974147479,0.0
30533848.0,high,137500.0,urban,451.451459224798,11228.0
30444301.0,low,20000.0,urban,205.601179176168,100.0
30144679.0,lower_middle,30000.0,urban,32.2576586549753,24000.0
30418124.0,upper_middle,62500.0,rural,64.3953192639667,20000.0
30128792.0,upper_middle,87500.0,urban,300.137732851226,24000.0
30556750.0,lower_middle,42500.0,suburban,586.833199958369,0.0
30107979.0,high,175000.0,urban,886.861245015129,18500.0
30214452.0,lower_middle,42500.0,suburban,30.3600324377332,5000.0
30173583.0,upper_middle,62500.0,suburban,112.98165285005,13000.0
30425749.0,high,137500.0,urban,58.8734763684934,0.0
30112955.0,upper_middle,62500.0,rural,123.967100945684,8000.0
30495589.0,upper_middle,87500.0,urban,58.0290908044814,15000.0
30441458.0,upper_middle,87500.0,urban,77.4973083245978,15100.0
30082739.0,lower_middle,30000.0,urban,471.864537954401,12300.0
30353936.0,low,20000.0,urban,2966.7875518803,0.0
30374859.0,upper_middle,87500.0,urban,1087.87859449419,19000.0
30480740.0,high,137500.0,urban,261.144903616673,21000.0
30171334.0,upper_middle,87500.0,urban,2966.08276595353,17300.0
30541944.0,,,urban,27.9589181695013,0.0
30461119.0,high,175000.0,urban,238.929176565689,0.0
30071011.0,high,112500.0,urban,525.531143596169,20000.0
30197487.0,low,20000.0,urban,210.647903016089,10000.0
30364594.0,low,12500.0,suburban,56.0961802252848,10000.0
30199366.0,lower_middle,42500.0,suburban,139.047154859631,0.0
30241659.0,high,112500.0,suburban,60.9755802269324,0.0
30334735.0,lower_middle,42500.0,urban,177.686712574613,6000.0
30533383.0,upper_middle,62500.0,urban,2966.15566432118,0.0
30061978.0,upper_middle,62500.0,urban,99.1027242018636,15000.0
30444265.0,upper_middle,87500.0,rural,90.6163249376697,9000.0
30390636.0,upper_middle,62500.0,urban,223.090390290585,37966.0
30211844.0,lower_middle,42500.0,suburban,27.9614174574123,12330.0
30084437.0,high,112500.0,urban,201.657741728084,0.0
30340373.0,upper_middle,87500.0,rural,91.6312637105425,21000.0
30220780.0,upper_middle,62500.0,suburban,114.650377289901,0.0
30331940.0,high,112500.0,urban,628.731803471575,0.0
30494424.0,high,112500.0,rural,337.050205026364,33000.0
30431764.0,low,20000.0,urban,346.990867035741,11500.0
30296109.0,low,12500.0,urban,27.9606641065965,0.0
30480573.0,,,urban,1443.83033323338,17000.0
30128301.0,upper_middle,62500.0,suburban,62.9120571822937,0.0
30036657.0,low,5000.0,suburban,75.994542325577,0.0
30200562.0,high,225000.0,urban,45.5787963092024,5000.0
30154085.0,upper_middle,87500.0,rural,27.962423826514,13000.0
30037528.0,lower_middle,30000.0,urban,1590.49343579101,0.0
30002335.0,lower_middle,30000.0,suburban,97.5922538910475,12000.0
30409489.0,high,112500.0,urban,433.040960977082,22000.0
30526273.0,upper_middle,87500.0,rural,168.577178430399,81000.0
30444222.0,lower_middle,42500.0,urban,1906.97848568138,0.0
